n,mean,p_lower,p_upper,p_tost,mechanism,subset,margin
22,-0.011818181818181844,0.023322217334380335,0.0012788185377042612,0.023322217334380335,C2_uncertainty,okay+better,0.05
11,-0.00909090909090912,0.1111006987153156,0.044743217665784596,0.1111006987153156,C2_uncertainty,okay,0.05
11,-0.014545454545454568,0.049656989939788065,0.003957743649726554,0.049656989939788065,C2_uncertainty,better,0.05
22,0.008545454545454533,0.0024640280951650963,0.01860965754400812,0.01860965754400812,C4_request,okay+better,0.05
11,-0.013090909090909103,0.14107962718426473,0.0403347696276322,0.14107962718426473,C4_request,okay,0.05
11,0.030181818181818167,0.0005306296592643151,0.14360417138232914,0.14360417138232914,C4_request,better,0.05
22,0.006000000000000005,0.0003113402737176461,0.002378090718783584,0.002378090718783584,C6_full,okay+better,0.05
11,0.0058181818181818135,0.016829517481673415,0.04004604358727746,0.04004604358727746,C6_full,okay,0.05
11,0.006181818181818197,0.004455725479910396,0.015068836203440454,0.015068836203440454,C6_full,better,0.05
