mechanism,w_f,trust_gain,n_runs,trust_sq_error_mean,trust_sq_error_ci_low,trust_sq_error_ci_high,overtrust_fraction_mean,overtrust_fraction_ci_low,overtrust_fraction_ci_high,gain_mean,gain_ci_low,gain_ci_high,control_steps_mean,control_steps_ci_low,control_steps_ci_high,missed_failures_mean,missed_failures_ci_low,missed_failures_ci_high
C1_none,20,0.0,3,0.09227320019108536,0.04283488074945805,0.15503227665176333,0.17671957671957672,0.1111111111111111,0.2857142857142857,0.4033333333333333,0.19000000000000006,0.59,355.6666666666667,321.0,376.0,0.3333333333333333,0.0,1.0
C1_none,20,0.5,3,0.12111647403203092,0.0870527262575801,0.17459268009617804,0.2422077922077922,0.0909090909090909,0.3499999999999999,0.3233333333333333,0.07,0.44999999999999996,330.6666666666667,307.0,346.0,0.3333333333333333,0.0,1.0
C1_none,50,0.0,3,0.10161956939950834,0.09183419713396368,0.1205501986169822,0.10429505135387489,0.09523809523809523,0.1176470588235294,0.37666666666666665,0.22999999999999998,0.61,354.3333333333333,305.0,397.0,0.3333333333333333,0.0,1.0
C1_none,50,0.5,3,0.2779872930728932,0.24388485211140384,0.3409119265214158,0.08288239538239538,0.0625,0.09523809523809523,0.5033333333333333,0.49,0.51,349.0,320.0,372.0,0.3333333333333333,0.0,1.0
C2_uncertainty,20,0.0,3,0.15805398289971587,0.10683099523206592,0.20181132092466894,0.24327485380116956,0.16666666666666666,0.3,0.59,0.57,0.61,339.3333333333333,321.0,368.0,0.3333333333333333,0.0,1.0
C2_uncertainty,20,0.5,3,0.14755519912722767,0.14549887050507482,0.14997511507924738,0.2814814814814815,0.1111111111111111,0.4000000000000001,0.4166666666666667,0.13,0.59,349.3333333333333,334.0,368.0,0.3333333333333333,0.0,1.0
C2_uncertainty,50,0.0,3,0.20637874210986504,0.15384984974022414,0.23634170893838047,0.14915824915824916,0.1111111111111111,0.20000000000000004,0.4566666666666667,0.38999999999999996,0.49,354.0,302.0,403.0,0.3333333333333333,0.0,1.0
C2_uncertainty,50,0.5,3,0.1790617103872597,0.11385772084823244,0.22286220753037447,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.17,-0.07,0.3499999999999999,344.0,280.0,399.0,0.3333333333333333,0.0,1.0
