mechanism,n_configs,mean_gain,cvar10_gain,win_rate_vs_C1,mean_diff_vs_C1
C1_none,33,0.3221212121212121,-0.062,,
C2_uncertainty,33,0.3253939393939394,0.025000000000000005,0.45454545454545453,0.0032727272727272674
C3_intent,33,0.33290909090909093,0.005000000000000018,0.45454545454545453,0.010787878787878786
C4_request,33,0.3590909090909091,0.06000000000000001,0.5757575757575758,0.03696969696969698
C5_thrifty,33,0.29751515151515157,0.010000000000000007,0.3939393939393939,-0.024606060606060604
C6_full,33,0.3667272727272728,0.139,0.5454545454545454,0.0446060606060606
HG_DAgger,33,0.24503030303030304,-0.018999999999999993,0.2727272727272727,-0.0770909090909091
