mechanism,n_runs,final_success_mean,final_success_ci_low,final_success_ci_high,gain_mean,gain_ci_low,gain_ci_high,control_steps_mean,control_steps_ci_low,control_steps_ci_high,attend_steps_mean,attend_steps_ci_low,attend_steps_ci_high,takeovers_mean,takeovers_ci_low,takeovers_ci_high,unnecessary_takeovers_mean,unnecessary_takeovers_ci_low,unnecessary_takeovers_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,missed_failures_mean,missed_failures_ci_low,missed_failures_ci_high,trust_sq_error_mean,trust_sq_error_ci_low,trust_sq_error_ci_high,overtrust_fraction_mean,overtrust_fraction_ci_low,overtrust_fraction_ci_high,gain_per_100_control_mean,gain_per_100_control_ci_low,gain_per_100_control_ci_high,auc_success_mean,auc_success_ci_low,auc_success_ci_high,steps_to_60_mean,steps_to_60_ci_low,steps_to_60_ci_high,steps_to_80_mean,steps_to_80_ci_low,steps_to_80_ci_high,requests_mean,requests_ci_low,requests_ci_high,request_precision_mean,request_precision_ci_low,request_precision_ci_high
C1_none,165,0.692121212121212,0.6562424242424243,0.7267878787878788,0.3221212121212121,0.28624242424242424,0.3567878787878788,358.1636363636364,345.5325757575758,371.29121212121214,174.20606060606062,167.2057575757576,181.6001515151515,27.87272727272727,26.818181818181817,28.957575757575757,3.618181818181818,3.212121212121212,4.042424242424242,0.8780419504518775,0.8661081694681989,0.8892419398826503,0.9906743255258319,0.9876724356058617,0.9934986158787837,0.22424242424242424,0.15757575757575756,0.2909090909090909,0.14089220417292533,0.12896657892985638,0.1524570366237638,0.14653106659137582,0.1287399602313735,0.16574023624210826,0.09863656523735745,0.08771019214279163,0.10985646785762487,0.5702020202020203,0.5506035353535353,0.5888888888888889,500.0,459.49367088607596,540.506329113924,716.6666666666666,665.1515151515151,768.1818181818181,0.0,0.0,0.0,,,
C2_uncertainty,165,0.6953939393939392,0.6606030303030304,0.7294575757575759,0.3253939393939394,0.29060303030303036,0.35945757575757575,352.43636363636364,340.9330303030303,364.5637878787879,193.56969696969696,184.98742424242425,202.5518181818182,26.87878787878788,25.963636363636365,27.86681818181818,3.521212121212121,3.1333333333333333,3.9212121212121214,0.8752534203037102,0.8624465849429248,0.8875806836030055,0.990789222588607,0.9877835171386629,0.9935461723789958,0.21818181818181817,0.15757575757575756,0.28484848484848485,0.14464965163265397,0.13397610420646225,0.15582153313701477,0.16451217963927334,0.1457383986315935,0.18456438001674672,0.10003935820990335,0.08928988793822266,0.11099917651412027,0.5805050505050505,0.5635277777777777,0.5978787878787878,478.5276073619632,440.4907975460123,519.0184049079754,668.8,616.0,720.0,0.0,0.0,0.0,,,
C3_intent,165,0.7029090909090909,0.6683636363636364,0.7356393939393939,0.3329090909090909,0.2983636363636364,0.36563939393939393,370.90909090909093,357.72712121212123,384.6146969696969,152.3030303030303,145.97575757575757,159.0487878787879,28.78787878787879,27.763484848484847,29.866666666666667,3.8727272727272726,3.43030303030303,4.321212121212121,0.8727552974552807,0.8602774563288191,0.8851154904479456,0.9905808672226265,0.9876419485929996,0.9933853771255292,0.23030303030303031,0.16363636363636364,0.296969696969697,0.14542053301824748,0.13305872993903464,0.15740604704696592,0.16253219534984079,0.14259428008143507,0.18400565761340798,0.09818119163767149,0.08765010036073537,0.10848510359142023,0.5669696969696969,0.5454520202020202,0.588181818181818,503.8961038961039,464.93506493506493,544.1558441558442,688.7096774193549,632.2177419354839,745.1612903225806,0.0,0.0,0.0,,,
C4_request,165,0.7290909090909091,0.6970909090909092,0.7603636363636364,0.35909090909090907,0.3270909090909091,0.39036363636363636,353.6969696969697,342.08469696969695,365.5580303030303,136.21212121212122,129.75136363636364,142.86060606060607,27.418181818181818,26.49681818181818,28.36969696969697,3.9515151515151516,3.5636363636363635,4.351515151515152,0.8600256939245265,0.8478915052518389,0.8719058328435496,0.9913474158193827,0.9886329302015432,0.9939887919630518,0.20606060606060606,0.14545454545454545,0.26666666666666666,0.1446203101953822,0.13142107560699426,0.1583445318446743,0.15364405356151276,0.13616212685900125,0.17189888180772686,0.10908175535770036,0.098444814186356,0.11980757927385509,0.5766666666666667,0.5579772727272727,0.5944469696969698,500.0,462.5,538.75,761.8320610687023,716.0305343511451,809.1603053435115,22.09090909090909,21.563636363636363,22.593939393939394,0.8513802712782305,0.8127800898081511,0.886301879809533
C5_thrifty,165,0.6675151515151516,0.632969696969697,0.7001212121212121,0.2975151515151515,0.26296969696969696,0.3301212121212121,396.6060606060606,383.39348484848483,410.1340909090909,103.95151515151515,98.46621212121212,109.49712121212121,31.163636363636364,30.145454545454545,32.21212121212121,4.9818181818181815,4.527272727272727,5.472727272727273,0.8453077607181838,0.8331098578694567,0.8568880130304247,0.9983493813585347,0.996945459828755,0.9994729907773386,0.03636363636363636,0.012121212121212121,0.06666666666666667,0.17096457403325305,0.15644956004379224,0.18585608866791167,0.12745944988929875,0.11204471686619585,0.14345441980610021,0.07980668614950168,0.07012428629626016,0.08941334749130969,0.5806060606060607,0.5617146464646464,0.5995959595959596,494.9367088607595,456.9620253164557,535.4430379746835,676.4705882352941,626.4705882352941,725.0,28.67878787878788,27.12727272727273,30.30333333333333,0.8037005844977171,0.786304500643449,0.820030938506601
C6_full,165,0.7367272727272728,0.707030303030303,0.7655787878787879,0.3667272727272727,0.337030303030303,0.3955787878787879,342.6181818181818,331.715,353.7521212121212,150.16363636363636,143.01181818181817,157.85469696969696,26.03030303030303,25.181818181818183,26.903181818181814,3.2484848484848485,2.878787878787879,3.6363636363636362,0.8812642749184806,0.8693665639162294,0.8932776870240011,0.9910790399134135,0.988146244652945,0.9938895388516514,0.20606060606060606,0.14545454545454545,0.2727272727272727,0.13900779477277014,0.12861814984289238,0.14942364393220892,0.1572915345686548,0.13961552074801875,0.1758051496694886,0.11313022741280676,0.10292780244741949,0.12345118508731548,0.5835353535353536,0.5652525252525251,0.6011111111111112,522.2929936305733,487.8980891719745,560.5095541401274,706.8702290076336,661.0687022900763,754.1984732824427,22.272727272727273,21.915151515151514,22.636363636363637,0.883619608091439,0.8535154067372377,0.9124848342189891
HG_DAgger,165,0.6150303030303029,0.574178787878788,0.6556363636363637,0.24503030303030307,0.20417878787878785,0.28563636363636363,254.23636363636365,241.1630303030303,267.75863636363636,301.09090909090907,287.98742424242425,314.98818181818183,21.254545454545454,20.078787878787878,22.496969696969696,4.2727272727272725,3.4727272727272727,5.1577272727272705,0.8362623919213916,0.8117196286167979,0.8592922404283699,0.9094475585184262,0.8870127412025711,0.9316551955861667,2.296969696969697,1.7030303030303031,2.9272727272727272,0.08898985315378515,0.08068020155470221,0.09769983834714244,0.1947314607817009,0.16820642559653576,0.22452997408330663,0.12237313802471056,0.10162048752442675,0.1428264672741902,0.524141414141414,0.4929292929292929,0.5549520202020202,446.5753424657534,401.36986301369865,494.52054794520546,632.7272727272727,569.0909090909091,700.0,0.0,0.0,0.0,,,
