mechanism,n_configs,mean_gain,cvar10_gain,configs_with_negative_gain,mean_unnecessary_takeovers,mean_precision,mean_control_steps,mean_attend_steps,mean_auc,win_rate_vs_C1,mean_gain_diff_vs_C1,gain_diff_ci_low,gain_diff_ci_high
C1_none,33,0.3221212121212121,-0.062,0.12121212121212122,3.618181818181818,0.8780419504518776,358.1636363636364,174.20606060606062,0.5702020202020202,,,,
C2_uncertainty,33,0.3253939393939394,0.025000000000000005,0.06060606060606061,3.521212121212121,0.8752534203037101,352.4363636363637,193.569696969697,0.5805050505050505,0.45454545454545453,0.0032727272727272674,-0.03006060606060607,0.036851515151515114
C3_intent,33,0.33290909090909093,0.005000000000000018,0.06060606060606061,3.8727272727272726,0.8727552974552806,370.90909090909093,152.3030303030303,0.5669696969696969,0.45454545454545453,0.010787878787878786,-0.016124242424242433,0.039272727272727265
C4_request,33,0.3590909090909091,0.06000000000000001,0.0,3.9515151515151508,0.8600256939245265,353.69696969696963,136.21212121212122,0.5766666666666667,0.5757575757575758,0.03696969696969698,0.0006060606060606023,0.07551818181818178
C5_thrifty,33,0.29751515151515157,0.010000000000000007,0.030303030303030304,4.981818181818182,0.8453077607181837,396.6060606060606,103.95151515151514,0.5806060606060605,0.3939393939393939,-0.024606060606060604,-0.052490909090909095,0.0038787878787878735
C6_full,33,0.3667272727272728,0.139,0.0,3.248484848484848,0.8812642749184807,342.6181818181818,150.16363636363633,0.5835353535353536,0.5454545454545454,0.0446060606060606,0.007872727272727257,0.08509090909090908
HG_DAgger,33,0.24503030303030304,-0.018999999999999993,0.06060606060606061,4.2727272727272725,0.8362623919213916,254.23636363636362,301.0909090909091,0.5241414141414141,0.2727272727272727,-0.0770909090909091,-0.11333333333333336,-0.0381818181818182
