skill,mechanism,n_runs,final_success_mean,final_success_ci_low,final_success_ci_high,gain_mean,gain_ci_low,gain_ci_high,control_steps_mean,control_steps_ci_low,control_steps_ci_high,attend_steps_mean,attend_steps_ci_low,attend_steps_ci_high,takeovers_mean,takeovers_ci_low,takeovers_ci_high,unnecessary_takeovers_mean,unnecessary_takeovers_ci_low,unnecessary_takeovers_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,missed_failures_mean,missed_failures_ci_low,missed_failures_ci_high,trust_sq_error_mean,trust_sq_error_ci_low,trust_sq_error_ci_high,overtrust_fraction_mean,overtrust_fraction_ci_low,overtrust_fraction_ci_high,gain_per_100_control_mean,gain_per_100_control_ci_low,gain_per_100_control_ci_high,auc_success_mean,auc_success_ci_low,auc_success_ci_high,steps_to_60_mean,steps_to_60_ci_low,steps_to_60_ci_high,steps_to_80_mean,steps_to_80_ci_low,steps_to_80_ci_high,requests_mean,requests_ci_low,requests_ci_high,request_precision_mean,request_precision_ci_low,request_precision_ci_high
better,C1_none,55,0.8465454545454547,0.8149090909090908,0.8759999999999999,0.47654545454545455,0.44490909090909087,0.5059999999999999,345.96363636363634,323.36318181818183,369.98409090909087,197.5090909090909,182.98090909090908,212.72772727272726,26.545454545454547,24.63590909090909,28.490909090909092,4.090909090909091,3.290909090909091,4.909090909090909,0.8579071036538718,0.835748816820861,0.8802755218576502,0.9890400042656649,0.9829985713043689,0.994727345826688,0.23636363636363636,0.10909090909090909,0.36363636363636365,0.18779480394011078,0.16734212964343084,0.20832107808066241,0.14247141063249585,0.1124058572236562,0.1753181469065254,0.14542112444842892,0.13259727336964128,0.1581720324223118,0.6281818181818183,0.6021212121212122,0.6533333333333333,570.9090909090909,498.1818181818182,650.9090909090909,800.0,724.5283018867924,871.6981132075472,0.0,0.0,0.0,,,
better,C2_uncertainty,55,0.8320000000000002,0.7956363636363638,0.865090909090909,0.462,0.4256363636363637,0.495090909090909,339.1272727272727,316.23545454545456,362.69136363636363,220.0909090909091,202.34318181818182,238.71045454545452,25.69090909090909,23.90909090909091,27.527272727272727,3.8363636363636364,3.109090909090909,4.618181818181818,0.8623306396127447,0.8382125559837035,0.8851930067883828,0.990009974360015,0.9842509518994904,0.9953088634502231,0.21818181818181817,0.10909090909090909,0.34545454545454546,0.17600325779822468,0.1579264934428853,0.19382373075646223,0.16915380262426738,0.1366783978622246,0.20211401820261118,0.1447433914393294,0.13106241696216225,0.15845015410648952,0.6218181818181818,0.5954545454545455,0.6472727272727272,538.1818181818181,472.6363636363637,607.2727272727273,730.7692307692307,657.6923076923077,800.0,0.0,0.0,0.0,,,
better,C3_intent,55,0.8425454545454546,0.8021818181818182,0.8789181818181817,0.47254545454545444,0.4321818181818183,0.5089181818181817,354.54545454545456,331.67227272727274,379.655,173.6909090909091,159.8909090909091,188.10999999999999,27.327272727272728,25.418181818181818,29.381818181818183,4.545454545454546,3.6363636363636362,5.509090909090909,0.8462571622013833,0.8194450381615762,0.8725430062462634,0.9904393745772984,0.985603535270984,0.9950884327689506,0.21818181818181817,0.10909090909090909,0.32727272727272727,0.18386563287503682,0.16524391947700215,0.20298445168015933,0.14357184775138981,0.11103456465457591,0.17902115019473816,0.14110531416532404,0.12698667558575155,0.15457051674030192,0.6248484848484849,0.6009090909090908,0.6484924242424241,530.9090909090909,465.45454545454544,596.3636363636364,723.0769230769231,634.6153846153846,807.6923076923077,0.0,0.0,0.0,,,
better,C4_request,55,0.8767272727272727,0.8454545454545457,0.9050999999999998,0.5067272727272727,0.4754545454545455,0.5350999999999998,345.3454545454546,324.0536363636364,367.0190909090909,155.4909090909091,143.39954545454546,167.63681818181817,27.0,25.145,28.89090909090909,5.290909090909091,4.509090909090909,6.072727272727272,0.812280243594304,0.7913205222879122,0.8330800741024114,0.9910314608535953,0.9861469836706992,0.9956376512157145,0.2,0.09090909090909091,0.3090909090909091,0.20192625639393158,0.1772986984422757,0.2260484303516202,0.150396041021037,0.12105324878458237,0.18089378379207646,0.15503081099020102,0.14220122439778582,0.1685082342558075,0.6312121212121211,0.6075757575757575,0.6539393939393939,560.0,498.1818181818182,621.8181818181819,800.0,735.8490566037735,864.1509433962265,22.30909090909091,21.272727272727273,23.418181818181818,0.7330964670250385,0.642943876559948,0.8120138096030951
better,C5_thrifty,55,0.8312727272727273,0.7996363636363636,0.86,0.46127272727272733,0.4296363636363637,0.49000000000000005,388.8,364.81545454545454,413.8572727272727,118.72727272727273,107.94500000000001,130.23636363636365,30.581818181818182,28.672727272727272,32.60045454545454,6.109090909090909,5.254545454545455,7.054545454545455,0.8083203951378162,0.7879746801722672,0.8282702594710385,0.9976613965744401,0.9945981554677207,1.0,0.05454545454545454,0.0,0.12727272727272726,0.21724876080689534,0.1932546598236437,0.2402069475863481,0.12479509090742572,0.09670939812623736,0.15447294407813036,0.12574913685279868,0.11509767661240188,0.13606455026456024,0.6487878787878786,0.6224242424242424,0.6745454545454543,578.1818181818181,512.7272727272727,643.6363636363636,716.9811320754717,637.7358490566038,792.4528301886793,36.72727272727273,33.8,39.67272727272727,0.7853588548797273,0.759445581959991,0.8119956047293452
better,C6_full,55,0.8527272727272728,0.8127272727272727,0.8894545454545455,0.48272727272727267,0.44272727272727275,0.5194545454545455,332.2,310.76363636363635,353.6909090909091,180.8909090909091,167.87,194.94590909090908,25.10909090909091,23.418181818181818,26.818181818181817,4.0,3.272727272727273,4.781818181818182,0.8520864429851532,0.829771348682675,0.8735213387702538,0.9897838618284843,0.9838422708203316,0.9952153110047847,0.21818181818181817,0.10909090909090909,0.34545454545454546,0.17565095124212027,0.1593152344345542,0.19219701481521453,0.13466766235323083,0.11105190196069538,0.159204891146455,0.15343679624477255,0.13766006481442633,0.16895878472077847,0.6372727272727273,0.6109015151515151,0.663939393939394,545.4545454545455,487.27272727272725,603.6363636363636,760.0,688.0,828.0,22.072727272727274,21.490909090909092,22.654545454545456,0.8291434755720469,0.7506222943722944,0.8983384224902082
better,HG_DAgger,55,0.7185454545454545,0.6614454545454544,0.7752727272727271,0.3485454545454545,0.29144545454545456,0.4052727272727273,226.72727272727272,205.63181818181818,249.4,352.1636363636364,326.16318181818184,378.80409090909086,20.145454545454545,17.81772727272727,22.654999999999994,5.654545454545454,3.8181818181818183,7.654999999999993,0.7951585048403381,0.7439826444142923,0.8442639383511095,0.88310642989796,0.8367072786856383,0.924868140041154,2.8,1.7636363636363637,3.981818181818182,0.10156130872086183,0.08383663055999059,0.1211073521688916,0.13982562558073788,0.10737038730805516,0.17506621749871926,0.1759118909840192,0.14165813292167842,0.21062540185003792,0.5872727272727274,0.5427272727272727,0.6296969696969696,464.1509433962264,392.45283018867923,543.3962264150944,661.9047619047619,561.9047619047619,766.6666666666666,0.0,0.0,0.0,,,
okay,C1_none,55,0.7549090909090911,0.7149090909090908,0.7945454545454543,0.3849090909090909,0.3449090909090909,0.42454545454545456,367.6909090909091,351.2359090909091,385.9095454545455,156.1090909090909,149.05454545454546,163.1090909090909,28.763636363636362,27.4,30.218636363636357,4.109090909090909,3.4363636363636365,4.818181818181818,0.8629683958214606,0.8449802143766791,0.8809948772983847,0.9914548423228776,0.987129486740044,0.9955437994312627,0.21818181818181817,0.10909090909090909,0.32727272727272727,0.15123267289368494,0.13329310771726688,0.16896356020797884,0.1440219314829503,0.11670415630004358,0.17284759210895223,0.10963500781075354,0.09694755956108315,0.122457102564404,0.6133333333333334,0.5890909090909092,0.6366666666666666,501.8181818181818,440.0,563.6363636363636,656.0,576.0,736.0,0.0,0.0,0.0,,,
okay,C2_uncertainty,55,0.7458181818181816,0.6916363636363637,0.7952727272727271,0.3758181818181818,0.32163636363636366,0.4252727272727272,357.7090909090909,344.03636363636366,372.3090909090909,175.76363636363635,166.6909090909091,185.27318181818183,27.2,26.036363636363635,28.400454545454537,4.1454545454545455,3.5454545454545454,4.781818181818182,0.8496979714628603,0.827862067150349,0.8700169005436962,0.9912173011695259,0.9867826935886053,0.9955177770087456,0.21818181818181817,0.10909090909090909,0.32727272727272727,0.15980484371942189,0.14082718814266462,0.1804773246916532,0.14726418491029533,0.11793791675749206,0.17781164423055917,0.10844510280221505,0.09246841930427643,0.1233592844989687,0.6257575757575758,0.6012045454545455,0.6506060606060605,418.1818181818182,367.27272727272725,472.72727272727275,634.7826086956521,547.8260869565217,721.7391304347826,0.0,0.0,0.0,,,
okay,C3_intent,55,0.7487272727272728,0.6989,0.7938181818181819,0.37872727272727275,0.3289,0.4238181818181819,384.92727272727274,365.7809090909091,405.29499999999996,137.9090909090909,131.61772727272728,144.21818181818182,29.87272727272727,28.381818181818183,31.47318181818181,4.3090909090909095,3.690909090909091,4.927272727272728,0.858315696066905,0.8402451462956637,0.8762444433809571,0.9902984680573593,0.9858820155068765,0.994561343165236,0.2545454545454545,0.14545454545454545,0.36363636363636365,0.16103022024808236,0.14132689798113734,0.18221833016746822,0.16533225478014937,0.13357253311658496,0.200816464113514,0.10368139651645589,0.08892186056969408,0.11735294256276971,0.6090909090909092,0.5805984848484849,0.639090909090909,487.27272727272725,425.45454545454544,552.7272727272727,674.5098039215686,592.156862745098,760.7843137254902,0.0,0.0,0.0,,,
