mechanism,term,beta,ci_low,ci_high
C2_uncertainty,intercept,0.003272727272727274,-0.03451606969195076,0.03408033487206878
C2_uncertainty,sup_skill_noise,0.016877536709800196,-0.0291598339400038,0.06195504284490107
C2_uncertainty,sup_delay_s,-0.010293612360979127,-0.05650406889665265,0.03095878114674271
C2_uncertainty,sup_p_attend,0.0056226283210853096,-0.03769933739563405,0.05380986838100479
C2_uncertainty,sup_display_weight,0.025334106447359606,-0.016337379994327748,0.07230579496125474
C2_uncertainty,sup_reliance,-0.031783971369498225,-0.07303180380980218,0.015625537390108732
C2_uncertainty,sup_theta,0.006522011724446244,-0.04265637982527454,0.05679269838239122
C2_uncertainty,sup_trust_attention_gain,0.006007708189853019,-0.032440160617598204,0.04765807386428038
C2_uncertainty,sup_w_f,0.032206369882536286,-0.013622238865933754,0.07034719918100188
C3_intent,intercept,0.010787878787878789,-0.0187024130930462,0.037574616605992095
C3_intent,sup_skill_noise,0.03009070427091569,-0.006531564865535062,0.0649710749611347
C3_intent,sup_delay_s,0.015899008283269064,-0.023134969512079,0.04972198012709633
C3_intent,sup_p_attend,0.02349908127947054,-0.007316651042684744,0.05301658678453116
C3_intent,sup_display_weight,0.030058639135081177,-0.0032768293474245763,0.06077880823738383
C3_intent,sup_reliance,-0.02008860047271868,-0.05273383581288884,0.01385168929922009
C3_intent,sup_theta,-0.021168899859598418,-0.055570987877720385,0.02183142282035687
C3_intent,sup_trust_attention_gain,-0.023952580433670042,-0.05407103724281503,0.015771688296065015
C3_intent,sup_w_f,0.020139713270598412,-0.01400855123163855,0.05115072376556552
C4_request,intercept,0.03696969696969695,-0.013849053310722639,0.07501985735682234
C4_request,sup_skill_noise,0.017185994936928007,-0.047635390179979455,0.06337391026115939
C4_request,sup_delay_s,0.001309276810212802,-0.055027740918317934,0.05105742907942891
C4_request,sup_p_attend,0.007676088000504221,-0.046455511425221946,0.0547432223831347
C4_request,sup_display_weight,0.008856035330466422,-0.04623612794715585,0.056485350779778024
C4_request,sup_reliance,-0.013218175136905996,-0.05909216143940634,0.04033965647773043
C4_request,sup_theta,-0.028626076702350955,-0.08738899222482129,0.04228630224614123
C4_request,sup_trust_attention_gain,-0.0271611439924275,-0.07582912477314285,0.029383429128684833
C4_request,sup_w_f,-0.0002768062354082993,-0.0648305247603059,0.04377039601697128
C5_thrifty,intercept,-0.024606060606060604,-0.06398191945436855,0.006676660699173955
C5_thrifty,sup_skill_noise,-0.003996490066281744,-0.049323892107100246,0.03585669702377694
C5_thrifty,sup_delay_s,-0.013625517960023923,-0.060033924546956934,0.02806268421744547
C5_thrifty,sup_p_attend,0.010270307590992449,-0.03241335813257477,0.05051193008017654
C5_thrifty,sup_display_weight,0.013301213616779847,-0.020154334238207346,0.04868741182528195
C5_thrifty,sup_reliance,0.002612742971703646,-0.035571411868284386,0.04614396033296278
C5_thrifty,sup_theta,-0.015307936541006147,-0.05683959774444988,0.035085660738702396
C5_thrifty,sup_trust_attention_gain,-0.009538538532326894,-0.04694933732584239,0.03168062370954612
C5_thrifty,sup_w_f,0.007791128050808241,-0.03641147334670412,0.042844686077382635
C6_full,intercept,0.04460606060606058,-2.4802892234357517e-05,0.07791879250974422
C6_full,sup_skill_noise,0.044284141869126284,-0.011076877963550173,0.09235668018323354
C6_full,sup_delay_s,-0.015492247297203028,-0.06819402776512157,0.034786139383794094
C6_full,sup_p_attend,0.04936688405902463,0.0066672169236247185,0.0987010556804649
C6_full,sup_display_weight,0.02140182330461012,-0.02604639887784234,0.06557403335777705
C6_full,sup_reliance,0.005051616593223417,-0.03490584010996175,0.05150690251910212
C6_full,sup_theta,-0.025457727054157213,-0.08172630587458816,0.03897203818292201
C6_full,sup_trust_attention_gain,-0.028224801452180967,-0.07349847580683987,0.018318312612469145
C6_full,sup_w_f,0.00912168252959521,-0.04431796063318172,0.048621547138327004
HG_DAgger,intercept,-0.0770909090909091,-0.12053668255975122,-0.04494451779377378
HG_DAgger,sup_skill_noise,0.034486502912090676,-0.017290594801964963,0.07695294242970231
HG_DAgger,sup_delay_s,-0.01656473728090517,-0.07045661687480717,0.038662481021659194
HG_DAgger,sup_p_attend,-0.005894227226827871,-0.05208090460548479,0.041623788110582254
HG_DAgger,sup_display_weight,0.03633950210120716,-0.017647228219383228,0.09104731530019373
HG_DAgger,sup_reliance,-0.013207094052610651,-0.06834698923371683,0.04040483263922652
HG_DAgger,sup_theta,-0.007910595998163957,-0.05905376996480016,0.06320044899541544
HG_DAgger,sup_trust_attention_gain,-0.02118192634807701,-0.06026816087977737,0.03474972050260384
HG_DAgger,sup_w_f,-0.0028375961016967313,-0.056515875014042295,0.04166302873571404
