mechanism,metric,corr_with_reliance,all_configs_mean,low_reliance_n,low_reliance_mean,low_reliance_ci_low,low_reliance_ci_high,low_reliance_p_perm
C4_request,attend_steps,-0.8047005140896198,-37.99393939393939,10,-15.099999999999998,-22.419999999999998,-7.259500000000001,0.0074496275186240685
C4_request,context_switches,-0.48027354276886,-0.9090909090909102,10,-0.08000000000000256,-1.2400000000000049,0.959999999999998,0.943302834858257
C4_request,control_steps,-0.578834802864637,-4.466666666666669,10,4.279999999999996,-5.3799999999999955,15.400499999999987,0.4772761361931903
C4_request,takeovers,-0.48027354276886,-0.4545454545454551,10,-0.04000000000000128,-0.6200000000000024,0.479999999999999,0.943302834858257
C4_request,gain,-0.14062511729234708,0.03696969696969698,10,0.058800000000000005,0.003600000000000006,0.11640999999999987,0.08484575771211439
C6_full,attend_steps,-0.8591293128363068,-24.042424242424243,10,2.0600000000000023,-4.800499999999996,10.639999999999995,0.7054147292635369
C6_full,context_switches,-0.43177261706493575,-3.6848484848484855,10,-2.840000000000001,-4.8000000000000025,-0.9199999999999996,0.017349132543372833
C6_full,control_steps,-0.48581277121017735,-15.545454545454545,10,-8.760000000000014,-20.440000000000015,2.600499999999998,0.18199090045497726
C6_full,takeovers,-0.43177261706493575,-1.8424242424242427,10,-1.4200000000000006,-2.4000000000000012,-0.4599999999999998,0.017349132543372833
C6_full,gain,0.1030511811243416,0.0446060606060606,10,0.039199999999999985,-0.014400000000000034,0.088,0.18459077046147693
